No.,Latitude,Longitude,Altitude,Pitch,Roll,Yaw
DSC05849.JPG,24.07347005,120.6676921,268,3.42,-3.54,97.19
DSC05850.JPG,24.07338867,120.6682617,265,5.71,-5.09,97.99001
DSC05851.JPG,24.0733195,120.6688151,268,4.33,6.78,96.99001
DSC05852.JPG,24.0732666,120.6693359,269,0.78,-1.85,95.1
DSC05853.JPG,24.0732137,120.6699382,268,3.59,-0.8,94.44
DSC05854.JPG,24.0731486,120.6704915,268,2.94,0.61,98.31001
DSC05855.JPG,24.0730835,120.6709961,268,2.81,1.71,97.42
DSC05856.JPG,24.07301432,120.6716146,269,1.5,0.66,97.13
DSC05857.JPG,24.07294108,120.672168,269,1.71,-2.63,96.89
DSC05858.JPG,24.0728597,120.6727214,266,4.46,-1.78,101.03
DSC05859.JPG,24.07278239,120.673291,266,4.87,2.75,98.49
DSC05860.JPG,24.07263997,120.6738444,266,4.46,44.75,116.41
DSC05861.JPG,24.07233887,120.6742513,266,3.61,43.71,143.03
DSC05862.JPG,24.07190755,120.6744303,269,3.34,46.48,174.34
DSC05863.JPG,24.07150065,120.674349,268,1.75,44.84,-153.58
DSC05864.JPG,24.07126872,120.6740234,264,6.69,37.92,-104.32
DSC05865.JPG,24.07137044,120.673763,266,11.69,-7.01,-62.52
DSC05866.JPG,24.07152913,120.6734863,271,4.69,-13.64,-64.83
DSC05867.JPG,24.0716512,120.6731608,270,3.31,-5.7,-74.11
DSC05868.JPG,24.07172852,120.672819,269,4.45,0.96,-78.56
DSC05869.JPG,24.07178955,120.6724772,269,4.56,-0.61,-81.58
DSC05870.JPG,24.07184245,120.6721029,268,4.49,1.28,-81.68999
DSC05871.JPG,24.07189941,120.6717285,269,5.29,-0.65,-82.17
DSC05872.JPG,24.07194417,120.6713542,269,3.29,0.92,-84.48
DSC05873.JPG,24.07198486,120.6709961,268,3.64,2.93,-82.75001
DSC05874.JPG,24.07202555,120.670638,269,2.12,2.06,-82.05
DSC05875.JPG,24.07206217,120.6702962,269,2.67,1.77,-83.75001
DSC05876.JPG,24.07210286,120.6699544,269,2.24,0.7399999,-83.56
DSC05877.JPG,24.07215169,120.6696126,267,3.82,2.43,-82.72
DSC05878.JPG,24.07220052,120.6692546,268,4.1,-1.04,-82.55
DSC05879.JPG,24.07224935,120.6688802,270,2.27,3.85,-81.9
DSC05880.JPG,24.07229004,120.6685221,268,3.62,-0.9899999,-85.00999
DSC05881.JPG,24.07231038,120.6681803,268,3.63,2,-86.36
DSC05882.JPG,24.0723348,120.6678385,268,4.3,5.66,-84.76
DSC05883.JPG,24.07237142,120.6674805,267,4.75,1.69,-83.14
DSC05884.JPG,24.07241211,120.6671387,267,5.26,3.91,-82.68
DSC05885.JPG,24.0724528,120.6667969,268,5.01,1.27,-83.39001
DSC05886.JPG,24.07249756,120.6664551,269,3.56,5.05,-81.43001
DSC05887.JPG,24.07254232,120.666097,268,3.82,0.15,-83.23
DSC05888.JPG,24.07257894,120.6657389,268,3.95,1.8,-85.02
DSC05889.JPG,24.0726237,120.6653809,269,3.11,-0.47,-81.78
DSC05890.JPG,24.07267253,120.6650228,269,2.44,-0.79,-83.71001
DSC05891.JPG,24.07270508,120.664681,271,1.46,3.36,-83.98
DSC05892.JPG,24.0727417,120.6643229,268,2.06,1.33,-85.19
DSC05893.JPG,24.0727946,120.6639648,268,3.54,2.38,-80.19
DSC05894.JPG,24.07283936,120.663623,271,-0.05,-2.22,-83.37
DSC05895.JPG,24.07288005,120.6632813,269,1.43,4.59,-82.47
DSC05896.JPG,24.0729248,120.6629069,269,2.25,-1.34,-84.11
DSC05897.JPG,24.07295736,120.6625488,269,0.77,0.65,-83.82
DSC05898.JPG,24.07298991,120.6621908,269,-1.05,1.47,-85.66
DSC05899.JPG,24.07301839,120.6618327,268,0.35,5.92,-84.56
DSC05900.JPG,24.07305908,120.6615072,271,-0.9,-0.49,-82.57
DSC05901.JPG,24.0730957,120.6611654,269,0.83,4.69,-83.25
DSC05902.JPG,24.07313639,120.6608073,267,2.07,3.33,-81.83
DSC05903.JPG,24.07318115,120.6604492,267,3.22,2.48,-83.56
DSC05904.JPG,24.07321777,120.6601074,267,1.12,0.31,-84.59
DSC05905.JPG,24.07325846,120.6597493,268,1.62,3.07,-81.71001
DSC05906.JPG,24.07330322,120.659375,268,-0.9299999,4.92,-82.00999
DSC05907.JPG,24.07334391,120.6590332,272,-3.12,-0.82,-82.91
DSC05908.JPG,24.07338867,120.6586589,270,-2.13,-0.28,-87.51
DSC05909.JPG,24.07343343,120.6582845,269,-0.38,-4.93,-82.00999
DSC05910.JPG,24.0734904,120.6578939,267,0.44,-6.06,-85.98
DSC05911.JPG,24.07352702,120.6575033,270,-0.64,-1.79,-85.75001
DSC05912.JPG,24.07356771,120.6570964,265,3.56,2.81,-84.65
DSC05913.JPG,24.07359212,120.656722,268,0.8,4.81,-83.41
DSC05914.JPG,24.07363688,120.6563477,268,0.9,0.94,-82.00999
DSC05915.JPG,24.07369385,120.6559896,268,1.22,-0.03,-80.04
DSC05916.JPG,24.07374674,120.6556152,266,3.56,3.93,-82.23
DSC05917.JPG,24.0737793,120.6552572,267,2.57,2.98,-84.82
DSC05918.JPG,24.07380371,120.6549154,268,0.3,5.86,-85.62
DSC05919.JPG,24.07384033,120.6545736,267,3.3,5.54,-81.79
DSC05920.JPG,24.0738973,120.6542155,266,3.42,1.49,-79.77
DSC05921.JPG,24.0739502,120.6538574,267,2.18,-0.72,-82.32
DSC05922.JPG,24.07399495,120.6535156,269,0.89,1.27,-83.56
